bs,gateway_id,release_receptions,calibration_receptions,full_identity_candidates,identified_on_calibration_only,outside_calibration_mismatches,catalogue_present,catalogue_latitude,catalogue_longitude,catalogue_x_m,catalogue_y_m,coordinate_crs,catalogue_rounding_m,in_metadata33,in_common27,in_transfer29,in_historical_recovered29,has_rssfit_coordinate,rssfit_x_m,rssfit_y_m,primary_selection_count
25,080E0116,4887,1209,1,True,0.0,True,51.194767,4.380632,596470.2,5672389.9,EPSG:32631,0.1,True,True,True,True,True,599574.6546407572,5678160.703379314,170
27,08060716,32812,5680,1,True,0.0,True,51.205795,4.398465,597692.9,5673639.8,EPSG:32631,0.1,True,True,True,True,True,601660.7827688708,5678795.361710104,874
31,FF010EFE,5368,1545,1,True,0.0,True,51.223267,4.478827,603267.4,5675692.6,EPSG:32631,0.1,True,False,True,False,True,599761.9757494882,5679030.054792717,215
32,FF0108A3,22642,5177,1,True,0.0,True,51.218227,4.40096,597840.9,5675025.6,EPSG:32631,0.1,True,True,True,True,True,601449.7286437321,5674110.344260617,731
33,FF01060B,263,69,1,True,0.0,True,51.273636,4.32128,592165.5,5681084.1,EPSG:32631,0.1,True,True,False,True,True,597416.268979382,5678427.561827109,9
34,FF010719,3155,922,1,True,0.0,True,51.248268,4.32423,592422.1,5678266.8,EPSG:32631,0.1,True,True,True,True,True,601686.1596488669,5678968.936681185,138
35,004A05D4,419,66,1,True,0.0,False,,,,,EPSG:32631,0.1,False,False,False,True,True,599370.0257105059,5676100.982387884,0
37,FF010639,1238,366,1,True,0.0,True,51.241581,4.490818,604063.4,5677746.0,EPSG:32631,0.1,True,True,True,True,True,595939.7279592969,5678800.037400032,59
41,004A0DA4,230,30,1,True,0.0,False,,,,,EPSG:32631,0.1,False,False,False,True,True,599978.0555914133,5676094.431804572,0
43,FF0107BB,45,10,1,True,0.0,True,51.251724,4.214437,584753.3,5678518.7,EPSG:32631,0.1,False,False,False,False,True,595414.7223250023,5675468.214842022,0
44,FF0105C2,182,46,1,True,0.0,True,51.322235,4.315572,591670.5,5686481.3,EPSG:32631,0.1,True,False,False,False,True,600383.3328164218,5678804.595869947,8
47,C0000209,10,6,1,True,0.0,False,,,,,EPSG:32631,0.1,False,False,False,False,True,598052.5437691736,5676462.619223404,0
48,FF010605,341,91,1,True,0.0,True,51.199253,4.498773,604714.7,5673050.4,EPSG:32631,0.1,True,False,True,False,True,595934.4762159069,5670368.338569325,12
49,004A0D9C,3,0,1,False,,False,,,,,EPSG:32631,0.1,False,False,False,False,False,,,0
50,FF010957,869,90,1,True,0.0,True,51.213299,4.333237,593121.3,5674389.6,EPSG:32631,0.1,True,True,False,True,True,600547.6299463756,5678454.787821637,18
52,FF010894,51,17,1,True,0.0,True,51.289127,4.48744,603720.5,5683028.4,EPSG:32631,0.1,False,False,False,False,True,599566.863029428,5678568.334092539,0
53,C000028C,4,1,1,True,0.0,False,,,,,EPSG:32631,0.1,False,False,False,False,True,597894.5513363667,5675343.187380905,0
55,FF0105B5,3,1,1,True,0.0,True,51.139679,4.594095,611517.8,5666566.0,EPSG:32631,0.1,False,False,False,False,True,598841.6826081033,5676201.565680538,0
59,FF010930,29,4,1,True,0.0,True,51.319191,4.261789,587928.8,5686077.0,EPSG:32631,0.1,False,False,False,False,True,595907.0213921218,5674330.468945306,0
60,FF010603,9,0,1,False,,True,51.13298,4.339783,593741.2,5665466.4,EPSG:32631,0.1,False,False,False,False,False,,,0
69,FF01753E,28529,6211,1,True,0.0,True,51.197487,4.406706,598286.3,5672726.9,EPSG:32631,0.1,True,True,True,True,True,601551.1739170863,5678352.415371114,954
70,FF017649,4080,945,1,True,0.0,True,51.202755,4.467505,602522.4,5673395.8,EPSG:32631,0.1,True,True,True,True,True,603756.3241078965,5678962.8837956935,146
71,004A026B,509,58,1,True,0.0,True,50.844898,4.132583,579736.5,5633188.3,EPSG:32631,0.1,True,True,False,True,True,598133.879319907,5674441.07470968,8
72,FF01031C,1,0,1,False,,True,51.226669,4.106431,577257.9,5675613.4,EPSG:32631,0.1,False,False,False,False,False,,,0
